City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
278,Bibiani,6.4635,-2.3194,71.98,95,25,1.95,scattered clouds
279,Santa Marta,11.2408,-74.199,80.65,74,17,3.44,few clouds
280,Araguacu,-12.9306,-49.8264,73.24,92,27,3.78,scattered clouds
281,Altamont,42.2068,-121.7372,47.79,41,1,5.01,clear sky
282,Kabare,-2.4683,28.8242,61.11,92,100,1.43,overcast clouds
283,Bubaque,11.2833,-15.8333,81.34,67,84,10.89,broken clouds
284,Tabuk,17.4189,121.4443,72.68,80,37,2.86,scattered clouds
285,Katsuura,35.1333,140.3,52.2,71,100,9.8,overcast clouds
286,Manggar,-2.8833,108.2667,78.42,89,100,8.55,moderate rain
287,Tarko-Sale,64.9225,77.785,-32.94,100,75,0.78,broken clouds
288,Bardiyah,31.7561,25.0865,59.81,65,0,11.56,clear sky
289,Atar,20.5169,-13.0499,67.41,14,100,7.76,overcast clouds
290,Astoria,46.1879,-123.8313,42.69,90,1,5.99,clear sky
291,Pisco,-13.7,-76.2167,67.01,88,20,14.97,few clouds
292,Kargasok,59.0556,80.8572,29.97,97,100,9.08,light snow
293,Berlevag,70.8578,29.0864,22.48,92,88,27.72,light snow
294,Birao,10.2849,22.7882,74.86,22,50,9.17,scattered clouds
295,Labuhan,-6.8844,112.2051,80.04,77,100,6.98,overcast clouds
296,Vardo,70.3705,31.1107,22.6,80,61,20.51,broken clouds
297,Kaitangata,-46.2817,169.8464,54.93,54,71,8.61,broken clouds
298,Turkeve,47.1,20.75,40.01,94,100,8.28,light rain
299,Prattville,32.464,-86.4597,67.51,78,1,4.61,clear sky
300,Aykhal,66.0,111.5,-33.05,100,73,7.34,broken clouds
301,Kavieng,-2.5744,150.7967,83.5,75,86,7.25,light rain
302,Tasiilaq,65.6145,-37.6368,29.32,93,100,19.8,snow
303,Lagoa,39.05,-27.9833,63.1,75,98,11.81,overcast clouds
304,Sehithwa,-20.4667,22.7167,72.05,68,100,3.42,overcast clouds
305,Bereda,43.2686,-7.5406,48.92,100,100,2.06,overcast clouds
306,Cherskiy,68.75,161.3,-35.03,96,100,2.68,overcast clouds
307,Etchoropo,26.7667,-109.6667,72.99,54,44,12.44,scattered clouds
308,Hovd,48.0056,91.6419,19.45,52,100,1.1,overcast clouds
309,Ugoofaaru,5.6667,73.0,82.24,72,6,9.35,clear sky
310,Mehamn,71.0357,27.8492,29.21,95,98,27.67,light snow
311,Pangnirtung,66.1451,-65.7125,4.64,98,100,6.69,light snow
312,Oktyabrskoye,43.0645,44.7417,24.94,93,8,4.47,clear sky
313,East London,-33.0153,27.9116,68.34,90,100,2.57,overcast clouds
314,Kupang,-10.1667,123.5833,84.78,89,75,5.75,broken clouds
315,Minas De Barroteran,27.6333,-101.2833,72.93,64,100,4.94,overcast clouds
316,Jackson,42.4165,-122.8345,51.04,100,90,0.0,mist
317,Port Augusta,-32.5,137.7667,80.71,47,60,7.85,broken clouds
318,Mvuma,-19.2792,30.5283,70.75,46,97,4.68,overcast clouds
319,Amahai,-3.3333,128.9167,84.24,73,67,5.28,broken clouds
320,Auki,-8.7676,160.7034,79.11,89,100,12.64,light rain
321,Meitingen,48.55,10.85,33.89,100,90,2.3,overcast clouds
322,Muyezerskiy,63.9333,31.65,1.85,100,87,2.84,overcast clouds
323,Tucuman,-26.8241,-65.2226,75.2,73,90,4.61,overcast clouds
324,Swan Hill,-35.3378,143.5544,79.84,35,97,11.03,overcast clouds
325,Port Blair,11.6667,92.75,78.84,78,40,5.75,scattered clouds
326,Vicente Guerrero,19.1194,-98.1708,54.79,49,77,5.06,broken clouds
327,Namibe,-15.1961,12.1522,71.71,64,12,3.96,few clouds
328,Ngunguru,-35.6167,174.5,70.9,79,27,13.33,scattered clouds
329,Sorland,67.667,12.6934,26.56,63,6,10.98,clear sky
330,Paamiut,61.994,-49.6678,25.43,62,100,18.54,light snow
331,Luderitz,-26.6481,15.1594,60.28,85,0,9.37,clear sky
332,Necochea,-38.5473,-58.7368,59.04,85,0,8.52,clear sky
333,Praia Da Vitoria,38.7333,-27.0667,59.25,88,40,4.85,scattered clouds
334,Arraial Do Cabo,-22.9661,-42.0278,74.37,87,81,20.67,light rain
335,Hithadhoo,-0.6,73.0833,81.14,79,100,11.48,overcast clouds
336,Severo-Kurilsk,50.6789,156.125,32.56,81,98,16.51,light snow
337,Tautira,-17.7333,-149.15,86.02,73,99,17.9,overcast clouds
338,Glenluce,54.8798,-4.8084,39.29,75,100,16.69,overcast clouds
339,Kodiak,57.79,-152.4072,35.11,80,90,13.8,overcast clouds
340,La Paz,-16.5,-68.15,49.98,93,75,10.36,fog
341,Hemsedal,60.8629,8.5534,12.24,98,100,1.7,overcast clouds
342,Dicabisagan,17.0818,122.4157,74.57,83,81,5.3,broken clouds
343,Kanniyakumari,8.0833,77.5667,79.07,81,100,5.48,overcast clouds
344,Seddon,-37.8068,144.8916,80.47,49,0,11.01,clear sky
345,Kavaratti,10.5669,72.642,80.71,70,94,12.73,overcast clouds
346,Kabompo,-13.5927,24.2008,63.9,95,100,1.97,light rain
347,Jiangyou,31.7667,104.7167,51.28,63,86,3.98,overcast clouds
348,Banjar,-8.19,114.9675,78.66,94,100,6.26,moderate rain
349,Caravelas,-17.7125,-39.2481,74.03,89,0,4.9,clear sky
350,Samfya,-11.3649,29.5565,70.52,64,12,5.99,few clouds
351,Drumheller,51.4617,-112.7101,4.86,77,76,2.3,broken clouds
352,Storslett,69.7678,21.0247,12.42,67,1,8.41,clear sky
353,Brae,60.3964,-1.353,40.91,64,77,9.95,broken clouds
354,Goshogawara,40.8044,140.4414,47.93,60,49,5.01,scattered clouds
355,Bayan,46.0833,127.4,19.22,89,14,6.87,few clouds
356,Alamosa,37.4695,-105.87,42.31,32,1,8.05,clear sky
357,Barguzin,53.6167,109.6167,16.39,89,50,4.25,scattered clouds
358,Japura,-0.3167,102.35,76.51,90,92,3.38,overcast clouds
359,Asmara,15.3333,38.9333,52.21,70,0,2.82,clear sky
360,Hue,16.4667,107.6,68.11,73,75,6.91,broken clouds
361,Guayaramerin,-10.8368,-65.3614,73.63,98,100,2.06,overcast clouds
362,Oktyabrskiy,54.4815,53.471,24.82,93,60,3.65,broken clouds
363,Pangody,65.85,74.4859,-26.63,100,9,8.12,clear sky
364,Altamira,-3.2033,-52.2064,73.53,96,94,1.63,overcast clouds
365,Bainbridge,47.6262,-122.5212,40.77,85,20,1.01,few clouds
366,Kalmunai,7.4167,81.8167,77.25,85,2,2.26,clear sky
367,Poum,-20.2333,164.0167,81.09,75,10,11.43,clear sky
368,Laguna,38.421,-121.4238,58.64,89,75,5.75,broken clouds
369,Vestmannaeyjar,63.4427,-20.2734,43.47,69,62,22.97,broken clouds
370,Salalah,17.0151,54.0924,73.49,35,0,4.61,clear sky
371,Georgetown,5.4112,100.3354,79.9,77,20,2.3,few clouds
372,Neiafu,-18.65,-173.9833,84.88,74,75,12.66,broken clouds
373,Balykshi,47.0667,51.8667,32.0,93,40,6.71,mist
374,Sola,-13.8833,167.55,81.66,73,30,10.31,scattered clouds
375,Buraydah,26.326,43.975,54.05,25,1,9.22,clear sky
