City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
434,Hualmay,PE,65.95,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
435,Mopipi,BW,72.82,overcast clouds,-21.1833,24.8833,
438,Concordia,AR,68.56,few clouds,-31.393,-58.0209,Palmar Hotel Casino
440,Bosaso,SO,72.25,scattered clouds,11.2842,49.1816,Red Sea Hotel
448,Russell,US,61.83,mist,32.3502,-85.1999,Macs
452,Adeje,ES,67.57,few clouds,28.1227,-16.726,Gran Tacande Wellness & Relax
454,Inhambane,MZ,75.51,clear sky,-23.865,35.3833,Oceano
458,Amapa,BR,72.32,moderate rain,1.0,-52.0,
460,Salta,AR,66.58,overcast clouds,-24.7859,-65.4117,Hotel Alejandro I
461,Chimoio,MZ,65.17,clear sky,-19.1164,33.4833,Predio Livraria Ahmed
462,Novo Aripuana,BR,74.1,overcast clouds,-5.1206,-60.3797,Hotel Ezequiel
464,Khonsa,IN,68.59,broken clouds,27.0167,95.5667,
468,Mudon,MM,72.91,broken clouds,16.2578,97.7164,Motel Mudon
481,Touros,BR,77.9,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
482,Cuamba,MZ,73.2,overcast clouds,-14.8031,36.5372,Hotel Vision
483,Huarmey,PE,66.47,overcast clouds,-10.0681,-78.1522,Hotel Miramar
486,Djambala,CG,67.39,light rain,-2.5447,14.7533,Hotel Ravin D'or
490,Tessalit,ML,62.82,clear sky,20.1986,1.0114,
492,Rincon,US,60.13,fog,32.296,-81.2354,Days Inn Rincon
497,Hambantota,LK,77.34,scattered clouds,6.1241,81.1185,Bungalow 63
500,Ilembula,TZ,64.42,overcast clouds,-8.9,34.5833,Lipangala Classic Lodge
503,Ahipara,NZ,74.23,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
504,Port Lincoln,AU,68.92,broken clouds,-34.7333,135.8667,Port Lincoln Hotel
505,Pochutla,MX,77.83,clear sky,15.7432,-96.4661,Hotel Posada San Jose
507,Tairua,NZ,71.1,broken clouds,-37.0167,175.85,Pacific Harbour Villas
509,Boca Do Acre,BR,73.02,overcast clouds,-8.7522,-67.3978,Hotel Sao Pedro
511,Samarinda,ID,79.66,overcast clouds,-0.5,117.15,Aston Samarinda Hotel & Convention Center
517,Kigoma,TZ,71.49,moderate rain,-4.8769,29.6267,MJI Mwema Lodge
518,Sao Gabriel Da Cachoeira,BR,72.48,overcast clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
519,Parga,GR,60.8,overcast clouds,39.2831,20.3964,Palatino Hotel
520,Panguna,PG,76.12,light rain,-6.3164,155.4848,
523,Big Spring,US,63.1,clear sky,32.2504,-101.4787,Hampton Inn & Suites Big Spring
525,Fort Abbas,PK,61.29,clear sky,29.1925,72.8536,AsAd's House
528,Florianopolis,BR,70.38,broken clouds,-27.6146,-48.5012,Hotel Boutique Quinta das Videiras
529,Komatipoort,ZA,72.05,broken clouds,-25.4332,31.9548,Kruger View Backpackers
530,Rodrigues Alves,BR,71.8,overcast clouds,-7.738,-72.6509,Pousada Aconchego
537,Yenagoa,NG,77.2,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
539,Banikoara,BJ,71.96,scattered clouds,11.2985,2.4386,Hôtel de l'UCom CVPC
544,Mogadishu,SO,77.86,few clouds,2.0371,45.3438,Hotel Juba
546,Sao Miguel,BR,77.77,scattered clouds,-5.4667,-35.3667,Maracajaú Reef
